filename,language,total_chunks,climate_chunks,kept_percentage,spec_specific,spec_non_specific,spec_avg_score,sent_opportunity,sent_neutral,sent_risk,sent_avg_score,commit_yes,commit_no,commit_avg_score,spec_specific_pct,sent_opportunity_pct,commit_yes_pct
014_2024_integrated_annual_report,en,331,182,54.98489425981873,73,109,0.7412274565015521,66,88,28,0.8336241517093156,114,68,0.9193146913261204,40.1,36.3,62.6
004_2018_annual_report,en,237,24,10.126582278481013,10,14,0.7595008065303167,4,8,12,0.8264076088865598,8,16,0.9097286239266396,41.7,16.7,33.3
015_2022_green_report,zh,85,79,92.94117647058823,58,21,0.7112015976181513,66,13,0,0.8520749132089978,70,9,0.9241462659232224,73.4,83.5,88.6
003_2016_annual_report,en,269,87,32.342007434944236,67,20,0.7503414085541649,26,34,27,0.8257299130675436,50,37,0.9193667433727747,77.0,29.9,57.5
005_2016_annual_report,en,381,129,33.85826771653544,81,48,0.7407604784004448,61,57,11,0.8518659749696421,99,30,0.9277802516323651,62.8,47.3,76.7
014_2016_sustainability_report,it,140,91,65.0,40,51,0.7250795082731561,38,49,4,0.7797551777336623,54,37,0.8945867563342,44.0,41.8,59.3
005_2023_annual_report,en,270,113,41.85185185185185,71,42,0.74688663524864,29,69,15,0.8204374065441368,81,32,0.9246311593899684,62.8,25.7,71.7
014_2021_sustainability_report,en,200,125,62.5,56,69,0.7287834219932556,52,58,15,0.8331599888801575,77,48,0.9076978092193604,44.8,41.6,61.6
014_2022_highlights,en,26,22,84.61538461538461,9,13,0.7344408631324768,14,5,3,0.8093242374333468,17,5,0.9415464374152097,40.9,63.6,77.3
001_2013_factbook,en,42,14,33.33333333333333,14,0,0.746767167534147,6,8,0,0.6975562678916114,8,6,0.7696688856397357,100.0,42.9,57.1
001_2024_annual_report,en,801,334,41.69787765293383,250,84,0.7927408068479892,97,150,87,0.8039683736191539,188,146,0.9348038508149679,74.9,29.0,56.3
013_2024_sustainability_report,en,136,113,83.08823529411765,22,91,0.7580551647506983,25,64,24,0.8386568229282851,57,56,0.9093490844279264,19.5,22.1,50.4
001_2023_integrated_annual_review,en,205,159,77.5609756097561,79,80,0.776385635699866,59,80,20,0.8711530180097377,134,25,0.9444457648685144,49.7,37.1,84.3
001_2017_annual_report,en,622,152,24.437299035369776,120,32,0.7621088624000549,21,69,62,0.7694634314822523,57,95,0.9381298214981431,78.9,13.8,37.5
010_2021_sustainability_report,en,62,49,79.03225806451613,42,7,0.7291840813597854,36,13,0,0.8584088628389397,45,4,0.9704908667778482,85.7,73.5,91.8
001_2019_climate_action_report,en,55,55,100.0,35,20,0.7302431724288246,31,16,8,0.8127794753421437,29,26,0.9083201386711814,63.6,56.4,52.7
015_2018_corporate_responsibility_report,en,141,64,45.39007092198582,54,10,0.7119191586971283,53,9,2,0.8765954934060574,63,1,0.9456256674602628,84.4,82.8,98.4
004_2016_annual_report,en,194,25,12.886597938144329,14,11,0.7434509420394897,9,2,14,0.8431123459339142,10,15,0.9168933510780335,56.0,36.0,40.0
002_2017_annual_report,en,221,43,19.457013574660635,35,8,0.7974757579870002,14,20,9,0.7708308662092963,31,12,0.8651926988779113,81.4,32.6,72.1
005_2020_annual_report,en,343,142,41.39941690962099,88,54,0.7560717497073429,56,59,27,0.8347298958351914,102,40,0.9313505312926332,62.0,39.4,71.8
001_2020_integrated_annual_review,en,119,87,73.10924369747899,47,40,0.7744769145702494,41,40,6,0.8663201119707918,75,12,0.9462723594972458,54.0,47.1,86.2
007_2022_sustainability_report,es,169,125,73.96449704142012,42,83,0.726250795841217,58,64,3,0.7729680695533753,97,28,0.8964879517555236,33.6,46.4,77.6
