company,country,technology,transformation_tech,year,production,scope1,scope2_location,scope2_market,scope_1_2_location,intensity_location_co2e,intensity_market_co2e,cdp_climate_score,cap_supplier_engagement,ecovadis,ESG_transparency,SBTi_validated,responsible_steel,iso_14001,iso_14064,iso_45001,data_quality,notes,Unnamed: 23,carbon_price,electricity_price,electricity_price_eu,coal_price_australia,iron_ore_price,natural_gas_price,natural_gas_price_eu,crude_steel_production,crude_steel_production_eu,capacity_utilisation_eu,ETS_coke_production,ETS_metal_ore,ETS_iron_steel,ETS_hydrogen_gas,SCI,hydrogen_use,free_allocation,ETS_free_ratio,ETS,CBAM,IED_update,green_deal,NZIA,CSP_funding,GPP,CSR,paris,KSG,ESRS,glasgow,govt_change,govt_change_DE,govt_change_IT,govt_change_SE,govt_change_NL,govt_change_ES,govt_change_FI,govt_change_FR,govt_change_LU,govt_change_GB,govt_change_AT,EU_parl,EU_comm,Construction/ Infrastructure (C/I),Automotive/ Mobility (A/M),Energy/Power (E/P),Wind/Solar Energy (W/S),Oil & Gas/ Pipelines (O/G),Mechanical Eng./ Industrial Apps (ME/IA),Railways/ Track Systems (R/TS),Aerospace/ Aviation (A/A),HH Appliances/ Consumer Goods (HA/CG),Packaging/Food Industry (P/FI),client_pressure_score,carbon_intensity
Outokumpu,Finland,EAF Stainless,,2019,2.196,0.944,,1.032,,,0.9,,,,,Committed (well below 2°C - validated Dec 2021),Member (joined 2019),Yes,Yes,,Fair,Market-based estimated from 2025 presentation char,,24.7,0.0715,0.1205,0.008927396,84.26424977,0.0591,0.03225,3.5,159.4,69.6,,8732.0,4068769.0,,1.162505429,,3954262.0,0.97185709,3.0,,,communicated,,,,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12.2,0.4298724954462659
Outokumpu,Finland,EAF Stainless,,2020,2.121,0.976,,0.551,,,0.72,,,,,Committed (preparing validation - validated Dec 2021),Member,Yes,Yes,,Good,COVID-19 impact,,24.4,0.0727,0.1257,0.006938629,97.39234831,0.05015,0.02925,3.498,138.8,62.1,,9378.0,4039810.0,,1.154891366,,3871031.0,0.958221055,3.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12.2,0.46016030174446015
Outokumpu,Finland,EAF Stainless,,2021,2.395,1.196,0.582,0.544,1.778,0.742,0.727,,,,[CHECK],Yes (Dec 2021),No,Yes,,[CHECK],Excellent,Includes divested operations,,52.5,0.0738,0.13685,0.013621893,124.9926654,0.08045,0.03605,4.34,149.6,71.7,,8984.0,5012511.0,,1.154956452,,4063786.0,0.810728595,4.0,,,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12.2,0.4993736951983298
Outokumpu,Finland,EAF Stainless,,2022,2.106,1.043,0.46,0.368,1.503,0.714,0.67,,,,,Yes,No (process started),Yes,,,Excellent,Includes divested operations,,80.32,0.0979,0.1972,0.035601772,98.08378154,0.15925,0.07615,3.538,136.4,64.0,,6669.0,4300088.0,,1.215400791,,4058497.0,0.943817196,4.0,,,,,1.0,2.0,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12.2,0.4952516619183286
Outokumpu,Finland,EAF Stainless,,2023,1.906,1.013,0.457,0.142,1.47,0.771,0.606,,,Platinum,,Yes,Pending (certification process finalized),Yes,,,Excellent,Both location-based (0.771) and market-based (0.60,,84.0,0.0921,0.2077,0.017881373,97.74855755,0.10705,0.07575,3.811,126.3,60.1,,7969.0,4408290.0,,1.156727893,,4058769.0,0.920712793,4.0,1.0,,,,1.0,,,,,2.0,,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12.2,0.5314795383001049
Outokumpu,Finland,EAF Stainless,,2024,1.83,0.732,,0.183,,,0.5,,,Platinum,Leading Company Award,Yes,Yes (FI/SE/DE),Yes,,Partial (Avesta/Nyby/Calvert/Castelleone),Excellent,Market-based Scope 2 only (0.1 tCO2/t); deliveries,,65.0,0.0828,0.1913,0.013949641,87.80313684,0.0883,0.06295,3.664,129.5,65.4,,5610.0,4304796.0,88007.0,1.174889738,0.020443942,4058451.0,0.942774292,4.0,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12.2,0.39999999999999997
SSAB,Sweden,BF-BOF,H₂-DRI,2013,7.519,10.399,0.506,,10.905,1.450325841202288,,,,,,,,,,,Excellent,HYBRIT transformation; fossil-free steel from 2021,,4.3,0.07755,0.118,0.007406618,92.87195897,0.055,0.04115,4.4,165.7,68.6,,669101.0,3346559.0,,0.760581591,,5729204.0,1.711968622,3.0,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.5,1.3830296581992285
SSAB,Sweden,BF-BOF,H₂-DRI,2014,7.305,10.173,0.513,,10.686,1.462833675564682,,,,,,,,,,,Excellent,HYBRIT transformation; fossil-free steel from 2021,,5.9,0.0687,0.1198,0.006225997,67.42338428,0.047,0.03835,4.5,169.2,70.1,,675214.0,3401705.0,,0.755934444,,5626840.0,1.654123447,3.0,,,,,,1.0,1.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.5,1.3926078028747433
SSAB,Sweden,BF-BOF,H₂-DRI,2015,6.961,9.803,0.449,,10.252,1.472776899870708,,,,,,,,,,,Excellent,HYBRIT transformation; fossil-free steel from 2021,,7.6,0.0606,0.1158,0.006929105,51.43696783,0.04335,0.0356,4.4,166.1,69.6,,628659.0,3710824.0,,0.843369091,,5523460.0,1.488472641,3.0,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.5,1.408274673179141
SSAB,Sweden,BF-BOF,H₂-DRI,2016,7.079,9.845,0.434,,10.279,1.45204124876395,,,,,,,,,,,Excellent,HYBRIT transformation; fossil-free steel from 2021,,5.2,0.0636,0.1122,0.008110017,56.13143908,0.03785,0.0313,4.6,162.3,69.5,,677178.0,3681142.0,,0.800248261,,5417005.0,1.471555566,3.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.5,1.3907331544003392
