company,company_id,year,total_chunks,climate_chunks,climate_pct,netzero_chunks,netzero_pct,netzero_of_climate_pct
Outokumpu,003,2017,251,103,41.03585657370518,8,7.766990291262135,7.766990291262135
Outokumpu,003,2018,249,108,43.373493975903614,9,8.333333333333332,8.333333333333332
Outokumpu,003,2019,258,115,44.57364341085272,8,6.956521739130435,6.956521739130435
Outokumpu,003,2020,258,118,45.73643410852713,10,8.47457627118644,8.47457627118644
Outokumpu,003,2021,259,150,57.91505791505791,10,6.666666666666667,6.666666666666667
Outokumpu,003,2022,313,166,53.03514376996805,19,11.44578313253012,11.44578313253012
Outokumpu,003,2023,241,123,51.037344398340245,27,21.951219512195124,21.951219512195124
Outokumpu,003,2024,425,290,68.23529411764706,34,11.724137931034482,11.724137931034482
Salzgitter,004,2013,222,52,23.423423423423422,2,3.8461538461538463,3.8461538461538463
Salzgitter,004,2014,244,56,22.950819672131146,0,0.0,0.0
Salzgitter,004,2015,242,69,28.512396694214875,0,0.0,0.0
Salzgitter,004,2016,177,29,16.38418079096045,0,0.0,0.0
Salzgitter,004,2017,265,63,37.55622188905547,0,0.0,0.0
Salzgitter,004,2018,277,62,38.00971716120076,2,3.125,3.225806451612903
Salzgitter,004,2019,289,75,41.06269772792637,2,2.4390243902439024,2.666666666666667
Salzgitter,004,2020,318,88,40.719399336476336,4,4.545454545454545,4.545454545454546
Salzgitter,004,2021,333,116,44.12530120481928,6,5.408653846153847,5.172413793103448
Salzgitter,004,2022,450,160,35.55555555555556,13,8.125,8.125
Salzgitter,004,2023,469,167,35.60767590618337,11,6.58682634730539,6.58682634730539
Salzgitter,004,2024,611,257,42.06219312602291,13,5.058365758754864,5.058365758754864
SSAB,005,2013,162,49,30.246913580246915,3,6.122448979591836,6.122448979591836
SSAB,005,2014,201,34,16.91542288557214,0,0.0,0.0
SSAB,005,2015,229,99,43.23144104803494,10,10.1010101010101,10.1010101010101
SSAB,005,2016,229,91,39.737991266375545,15,16.483516483516482,16.483516483516482
SSAB,005,2017,294,127,43.197278911564624,16,12.598425196850393,12.598425196850393
